"uniqueID","division","mpFrom","mpTo","phid","deathDate"
"Conroy1979","Shortland",2016-07-02,NA,"249127",NA
"Corcoran1951","Isaacs",2000-08-12,2007-10-17,"009CW",NA
"Costello1957","Higgins",1990-03-24,2009-10-19,"CT4",NA
"Coulton1958","Parkes",2007-11-24,NA,"HWN",NA
"Cox1954","Kingston",1998-10-03,2004-10-09,"83U",NA
"Crean1949","Hotham",1990-03-24,2013-08-05,"DT4",NA
"Crewther1983","Dunkley",2016-07-02,2019-05-18,"248969",NA
"Crook1959","O'Connor",2010-08-21,2013-08-05,"M3K",NA
"Crosio1939","Prospect",1990-03-24,2004-08-31,"7T4",NA
"Danby1955","Melbourne Ports",1998-10-03,2019-04-11,"WF6",NA
"Dargavel1966","Fraser",1997-02-01,1998-08-31,"KP6",NA
"DAth1970","Petrie",2007-11-24,2013-09-07,"HVN",NA
"Debus1943","Macquarie",2007-11-24,2010-07-19,"8IS",NA
"Dick1972","Oxley",2016-07-02,NA,"53517",NA
"Dondas1939","Northern Territory",1996-03-02,1998-10-03,"5M6",NA
"Downer1951","Mayo",1984-12-01,2008-07-14,"4G4",NA
"Draper1959","Makin",1996-03-02,2007-10-17,"0L6",NA
"Dreyfus1956","Isaacs",2007-11-24,NA,"HWG",NA
"Drum1960","Murray",2016-07-02,2019-04-11,"56430",NA
"Drum1960","Nicholls",2019-05-18,NA,"56430",NA
"Dutton1970","Dickson",2001-11-10,NA,"00AKI",NA
"Edwards1946","Cowan",1998-10-03,2007-10-17,"83R",NA
"Elliot1967","Richmond",2004-10-09,NA,"DZW",NA
"Ellis1946","Canberra",1998-10-03,2010-07-19,"5K6",NA
"Ellis1946","Namadgi",1996-03-02,1998-10-03,"5K6",NA
"Ellis1977","Adelaide",2004-10-09,2019-04-11,"DZU",NA
"Elson1947","Forde",1996-03-02,2007-10-17,"6K6",NA
"Emerson1954","Rankin",1998-10-03,2013-08-05,"83V",NA
"Entsch1950","Leichhardt",1996-03-02,2007-10-17,"7K6",NA
"Entsch1950","Leichhardt",2010-08-21,NA,"7K6",NA
"Evans1944","Holt",1996-03-02,1999-09-30,"VD4",NA
"Evans1981","Brisbane",2016-07-02,NA,"61378",NA
"EvansMartyn1953","Bonython",1994-03-19,2004-10-09,"N36",NA
"EvansRichard1953","Cowan",1993-03-13,1998-10-03,"3V5",NA
"Fahey1945","Macarthur",1996-03-02,2001-10-08,"HQ5",NA
"Falinski1970","Mackellar",2016-07-02,NA,"G86",NA
"Farmer1962","Macarthur",2001-11-10,2010-07-19,"00AMO",NA
"Fawcett1963","Wakefield",2004-10-09,2007-11-24,"DYU",NA
"Feeney1970","Batman",2013-09-07,2018-02-01,"I0O",NA
"Ferguson1952","Reid",1990-03-24,2010-08-21,"8T4",NA
"Ferguson1952","Werriwa",2010-08-21,2016-05-09,"8T4",NA
"Ferguson1953","Batman",1996-03-02,2013-08-05,"LS4",NA
"Ferguson1974","Bass",2004-10-09,2007-11-24,"DYH",NA
