"uniqueID","division","mpFrom","mpTo","phid","deathDate"
"Thomson1961","Wentworth",1995-04-08,2001-10-08,"FB6",NA
"Thomson1964","Dobell",2007-11-24,2013-09-07,"HVZ",NA
"Thwaites1980","Jagajaga",2019-05-18,NA,"282212",NA
"Ticehurst1945","Dobell",2001-11-10,2007-11-24,"00ANF",NA
"Tollner1966","Solomon",2001-11-10,2007-11-24,"00AN4",NA
"Trevor1961","Flynn",2007-11-24,2010-08-21,"HVU",NA
"Truss1948","Wide Bay",1990-03-24,2016-05-09,"GT4",NA
"Tuckey1935","O'Connor",1980-10-18,2010-08-21,"SJ4",NA
"Tudge1971","Aston",2010-08-21,NA,"M2Y",NA
"Turnbull1954","Wentworth",2004-10-09,2018-08-31,"885",NA
"Turnour1966","Leichhardt",2007-11-24,2010-08-21,"HVV",NA
"Vaile1956","Lyne",1993-03-13,2008-07-30,"SU5",NA
"Vale1944","Hughes",1996-03-02,2010-07-19,"VK6",NA
"Vamvakinou1959","Calwell",2001-11-10,NA,"00AMT",NA
"vanManen1965","Forde",2010-08-21,NA,"188315",NA
"Varvaris1974","Barton",2013-09-07,2016-07-02,"250077",NA
"Vasta1966","Bonner",2004-10-09,2007-11-24,"E0D",NA
"Vasta1966","Bonner",2010-08-21,NA,"E0D",NA
"Wakelin1946","Grey",1993-03-13,2007-10-17,"HV5",NA
"Wallace1968","Fisher",2016-07-02,NA,"265967",NA
"Washer1945","Moore",1998-10-03,2013-08-05,"84F",NA
"Watts1982","Gellibrand",2013-09-07,NA,"193430",NA
"Webster1959","Mallee",2019-05-18,NA,"281688",NA
"Wells1985","Lilley",2019-05-18,NA,"264121",NA
"West1952","Bowman",1996-03-02,1998-10-03,"XK6",2010-04-20
"Whiteley1960","Braddon",2013-09-07,2016-07-02,"207800",NA
"Wicks1973","Robertson",2013-09-07,NA,"241590",NA
"Wilkie1959","Swan",1998-10-03,2007-11-24,"84G",NA
"Wilkie1961","Denison",2010-08-21,2019-04-11,"C2T",NA
"Wilkie1961","Clark",2019-05-18,NA,"C2T",NA
"Williams1942","Tangney",1993-03-13,2004-08-31,"7V5",NA
"Williams1973","Hindmarsh",2013-09-07,2016-07-02,"249758",NA
"Willis1938","Gellibrand",1972-12-02,1998-08-31,"ZJ4",NA
"Wilson1966","O'Connor",2013-09-07,NA,"198084",NA
"Wilson1972","Fremantle",2016-07-02,2018-05-10,"265970",NA
"Wilson1972","Fremantle",2018-07-28,NA,"265970",NA
"Wilson1980","Goldstein",2016-07-02,NA,"IMW",NA
"Wilton1955","Isaacs",1996-03-02,2000-06-14,"YK6",2000-06-14
"Windsor1950","New England",2001-11-10,2013-08-05,"009LP",NA
"Wood1968","La Trobe",2004-10-09,2010-08-21,"E0F",NA
"Wood1968","La Trobe",2013-09-07,NA,"E0F",NA
"Wooldridge1956","Chisholm",1987-07-11,2001-10-08,"8E4",NA
"Worth1946","Adelaide",1993-03-13,2004-10-09,"8V5",NA
"Wyatt1952","Hasluck",2010-08-21,NA,"M3A",NA
"Young1968","Longman",2019-05-18,NA,"201906",NA
"Zahra1973","McMillan",1998-10-03,2004-10-09,"84H",NA
"Zammit1941","Lowe",1996-03-02,1998-10-03,"ZK6",NA
"Zappia1952","Makin",2007-11-24,NA,"HWB",NA
"Zimmerman1968","North Sydney",2015-12-05,NA,"203092",NA
