"uniqueID","phid","surname","firstName","displayName","gender","title","prefix","suffix","electorate","party","deathDate","form1","form2","form3","form4","form5"
"Bilney1939","RE4","Bilney","Gordon","Bilney, Gordon","male","Mr","the Hon.",NA,"Kingston","Australian Labor Party",2012-10-28,"Mr Gordon Bilney","Mr Bilney","Mr GORDON BILNEY","Mr BILNEY","Mr Gordon BILNEY"
"Bird1906","JPE","Bird","Alan","Bird, Alan","male","Mr",NA,NA,"Batman","Australian Labor Party",1962-07-21,"Mr Alan Bird","Mr Bird","Mr ALAN BIRD","Mr BIRD","Mr Alan BIRD"
"Bird1962","DZP","Bird","Sharon","Bird, Sharon","female","Ms|Mrs","the Hon.",NA,"Cunningham","Australian Labor Party",NA,"(Ms|Mrs) Sharon Bird","(Ms|Mrs) Bird","(Ms|Mrs) SHARON BIRD","(Ms|Mrs) BIRD","(Ms|Mrs) Sharon BIRD"
"Birney1928","JPG","Birney","Reginald","Birney, Jack","male","Mr",NA,NA,"Phillip","Liberal Party of Australia",1995-01-01,"Mr Reginald Birney","Mr Birney","Mr REGINALD BIRNEY","Mr BIRNEY","Mr Reginald BIRNEY"
"Birrell1913","JPJ","Birrell","Frederick","Birrell, Fred","male","Mr",NA,NA,"Port Adelaide","Australian Labor Party",1985-07-23,"Mr Frederick Birrell","Mr Birrell","Mr FREDERICK BIRRELL","Mr BIRRELL","Mr Frederick BIRRELL"
"Bishop1942","SE4","Bishop","Bronwyn","Bishop, Bronwyn","female","Ms|Mrs","the Hon.","AO","Mackellar","Liberal Party of Australia",NA,"(Ms|Mrs) Bronwyn Bishop","(Ms|Mrs) Bishop","(Ms|Mrs) BRONWYN BISHOP","(Ms|Mrs) BISHOP","(Ms|Mrs) Bronwyn BISHOP"
"Bishop1956","83P","Bishop","Julie","Bishop, Julie","female","Ms|Mrs","the Hon.",NA,"Curtin","Liberal Party of Australia",NA,"(Ms|Mrs) Julie Bishop","(Ms|Mrs) Bishop","(Ms|Mrs) JULIE BISHOP","(Ms|Mrs) BISHOP","(Ms|Mrs) Julie BISHOP"
"Blackburn1880","JPN","Blackburn","Maurice","Blackburn, Maurice","male","Mr",NA,NA,"Bourke","Independent Labor",1944-03-31,"Mr Maurice Blackburn","Mr Blackburn","Mr MAURICE BLACKBURN","Mr BLACKBURN","Mr Maurice BLACKBURN"
"Blackburn1889","JPL","Blackburn","Doris","Blackburn, Doris","female","Ms|Mrs",NA,NA,"Bourke","Independent Labor",1970-12-12,"(Ms|Mrs) Doris Blackburn","(Ms|Mrs) Blackburn","(Ms|Mrs) DORIS BLACKBURN","(Ms|Mrs) BLACKBURN","(Ms|Mrs) Doris BLACKBURN"
"Blacklow1879","JPP","Blacklow","Archibald","Blacklow, Archibald","male","Mr",NA,"DSO","Franklin","United Australia Party",1965-04-04,"Mr Archibald Blacklow","Mr Blacklow","Mr ARCHIBALD BLACKLOW","Mr BLACKLOW","Mr Archibald BLACKLOW"
"Blackwood1861","JPR","Blackwood","Robert","Blackwood, Robert","male","Mr",NA,NA,"Riverina","Free Trade",1940-09-22,"Mr Robert Blackwood","Mr Blackwood","Mr ROBERT BLACKWOOD","Mr BLACKWOOD","Mr Robert BLACKWOOD"
"Blain1894","JPT","Blain","Adair","Blain, Adair","male","Mr",NA,NA,"Northern Territory","Independent",1983-04-28,"Mr Adair Blain","Mr Blain","Mr ADAIR BLAIN","Mr BLAIN","Mr Adair BLAIN"
"Blakeley1886","JPV","Blakeley","Arthur","Blakeley, Arthur","male","Mr","the Hon.",NA,"Darling","Australian Labor Party",1972-06-27,"Mr Arthur Blakeley","Mr Blakeley","Mr ARTHUR BLAKELEY","Mr BLAKELEY","Mr Arthur BLAKELEY"
"Blanchard1929","UE4","Blanchard","Cecil","Blanchard, Allen","male","Mr",NA,NA,"Moore","Australian Labor Party",2008-10-25,"Mr Cecil Blanchard","Mr Blanchard","Mr CECIL BLANCHARD","Mr BLANCHARD","Mr Cecil BLANCHARD"
"Bland1882","JQ7","Bland","Francis","Bland, Francis","male","Mr",NA,"CMG","Warringah","Liberal Party of Australia",1967-04-09,"Mr Francis Bland","Mr Bland","Mr FRANCIS BLAND","Mr BLAND","Mr Francis BLAND"
"Blewett1933","VE4","Blewett","Neal","Blewett, Neal","male","Dr|Mr","the Hon. Dr","AC","Bonython","Australian Labor Party",NA,"(Dr|Mr) Neal Blewett","(Dr|Mr) Blewett","(Dr|Mr) NEAL BLEWETT","(Dr|Mr) BLEWETT","(Dr|Mr) Neal BLEWETT"
"Blundell1871","JQ9","Blundell","Reginald","Blundell, Reginald","male","Mr","the Hon.",NA,"Adelaide","Nationalist Party",1945-08-09,"Mr Reginald Blundell","Mr Blundell","Mr REGINALD BLUNDELL","Mr BLUNDELL","Mr Reginald BLUNDELL"
"Blunt1951","WE4","Blunt","Charles","Blunt, Charles","male","Mr",NA,NA,"Richmond","National Party of Australia",NA,"Mr Charles Blunt","Mr Blunt","Mr CHARLES BLUNT","Mr BLUNT","Mr Charles BLUNT"
"Bonnett1916","JQB","Bonnett","Robert","Bonnett, Robert","male","Mr",NA,"OBE","Herbert","Liberal Party of Australia",1992-04-21,"Mr Robert Bonnett","Mr Bonnett","Mr ROBERT BONNETT","Mr BONNETT","Mr Robert BONNETT"
"Bonython1848","JR7","Bonython","John","Bonython, John","male","Sir","the Hon. Sir","KCMG, Kt","Barker","Protectionist Party",1939-10-22,"Sir John Bonython","Sir Bonython","Sir JOHN BONYTHON","Sir BONYTHON","Sir John BONYTHON"
"Bosman1924","JR9","Bosman","Leonard","Bosman, Len","male","Mr",NA,NA,"St George","Liberal Party of Australia",2017-02-06,"Mr Leonard Bosman","Mr Bosman","Mr LEONARD BOSMAN","Mr BOSMAN","Mr Leonard BOSMAN"
"Bostock1892","JRB","Bostock","William","Bostock, William","male","Mr",NA,"CB, OBE, DSO","Indi","Liberal Party of Australia",1968-04-28,"Mr William Bostock","Mr Bostock","Mr WILLIAM BOSTOCK","Mr BOSTOCK","Mr William BOSTOCK"
"Bourchier1929","JRD","Bourchier","John","Bourchier, John","male","Mr",NA,"CBE","Bendigo","Liberal Party of Australia",2017-08-31,"Mr John Bourchier","Mr Bourchier","Mr JOHN BOURCHIER","Mr BOURCHIER","Mr John BOURCHIER"
"Bourke1913","JRF","Bourke","William","Bourke, Bill","male","Mr",NA,NA,"Fawkner","Australian Labor Party (Anti-Communist)",1981-05-22,"Mr William Bourke","Mr Bourke","Mr WILLIAM BOURKE","Mr BOURKE","Mr William BOURKE"
"Bowden1871","JRH","Bowden","Eric","Bowden, Eric","male","Mr","the Hon.",NA,"Parramatta","Nationalist Party",1931-02-13,"Mr Eric Bowden","Mr Bowden","Mr ERIC BOWDEN","Mr BOWDEN","Mr Eric BOWDEN"
