"order","page.no","time.stamp","name","name.id","electorate","party","in.gov","first.speech","text","fedchamb_flag","question","answer","sub1_flag","sub2_flag"
1,13,"","Goodenough, Ian MP (The DEPUTY SPEAKER)","74046","Moore","LP","","","
              ",0,0,0,0,1
2,13,"","Chandler-Mather, Max MP","300121","Griffith","AG","","","
              ",0,0,0,0,1
3,14,"","Goodenough, Ian MP (The DEPUTY SPEAKER)","74046","Moore","LP","","","
              ",0,0,0,0,1
4,15,"","Goodenough, Ian MP (The DEPUTY SPEAKER)","74046","Moore","LP","","","
              ",0,0,0,0,1
5,15,"","DEPUTY SPEAKER, The","10000","","","","","
              ",0,0,0,0,1
6,16,"","Mr Gorman interjecting—","","","","","","
              ",0,0,0,0,1
7,17,"","Claydon, Sharon MP (The DEPUTY SPEAKER)","248181","Newcastle","ALP","","","
              ",0,0,0,0,1
8,22,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,0,1,0
9,23,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,0,1,1,0
10,23,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
11,23,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,0,1,1,0
12,23,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
13,23,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
14,23,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
15,23,"","Mr Dutton interjecting—","","","","","","
            ",0,0,1,1,0
16,23,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
17,24,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,1,0,1,0
18,24,"","Fletcher, Paul MP","L6B","Bradfield","LP","","","
            ",0,0,1,1,0
19,24,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
20,24,"","Fletcher, Paul MP","L6B","Bradfield","LP","","","
            ",0,0,1,1,0
21,24,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
22,24,"","Ley, Sussan Penelope MP","00AMN","Farrer","LP","","","
            ",0,0,1,1,0
23,24,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
24,24,"","Ley, Sussan Penelope MP","00AMN","Farrer","LP","","","
            ",0,0,1,1,0
25,25,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
26,25,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
27,25,"","Fletcher, Paul MP","L6B","Bradfield","LP","","","
            ",0,0,1,1,0
28,25,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
29,25,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
30,25,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
31,25,"","Fletcher, Paul MP","L6B","Bradfield","LP","","","
            ",0,0,1,1,0
32,25,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
33,27,"","Ms Ley interjecting—","","","","","","
            ",0,0,1,1,0
34,27,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
35,27,"","Ms Ley interjecting—","","","","","","
            ",0,0,1,1,0
36,27,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
37,28,"","Littleproud, David MP","265585","Maranoa","LNP","","","
            ",0,0,1,1,0
38,28,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
39,28,"","Mr Littleproud interjecting—","","","","","","
            ",0,0,1,1,0
40,28,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
41,31,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
42,31,"","Fletcher, Paul MP","L6B","Bradfield","LP","","","
            ",0,0,1,1,0
43,31,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
44,31,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
45,32,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
46,32,"","Mr Sukkar interjecting—","","","","","","
            ",0,0,1,1,0
47,32,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
48,32,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
49,32,"","Sukkar, Michael MP","242515","Deakin","LP","","","
            ",0,0,1,1,0
50,32,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
51,32,"","Mr Pasin interjecting—","","","","","","
            ",0,0,1,1,0
52,32,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
53,32,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
54,32,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
55,33,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,1,0,1,0
56,33,"","Ms Madeleine King interjecting—","","","","","","
            ",0,1,0,1,0
57,33,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,1,0,1,0
58,33,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
59,33,"","Mr Littleproud interjecting—","","","","","","
            ",0,0,1,1,0
60,34,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,1,0,1,0
61,34,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
62,34,"","Mr Littleproud interjecting—","","","","","","
            ",0,0,1,1,0
63,34,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
64,34,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
65,34,"","Tehan, Dan MP","210911","Wannon","LP","","","
            ",0,0,1,1,0
66,34,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
67,34,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
68,34,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,0,1,1,0
69,34,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
70,35,"","Bell, Angie MP","282981","Moncrieff","LNP","","","
            ",0,0,1,1,0
71,35,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
            ",0,0,1,1,0
72,36,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,1,0,1,0
73,36,"","Albanese, Anthony MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
74,41,"","Mr Rob Mitchell interjecting—","","","","","","
            ",0,0,0,1,0
75,41,"","Claydon, Sharon MP (The DEPUTY SPEAKER)","248181","Newcastle","ALP","","","
            ",0,0,0,1,0
76,41,"","Mr Rob Mitchell interjecting—","","","","","","
            ",0,0,0,1,0
77,42,"","Mr Rob Mitchell interjecting—","","","","","","
            ",0,0,0,1,0
78,42,"","DEPUTY SPEAKER, The","10000","","","","","
            ",0,0,0,1,0
79,42,"","Mr Rob Mitchell interjecting—","","","","","","
            ",0,0,0,1,0
80,42,"","DEPUTY SPEAKER, The","10000","","","","","
            ",0,0,0,1,0
81,46,"","Vasta, Ross MP (The DEPUTY SPEAKER)","E0D","Bonner","LNP","","","
            ",0,0,0,1,0
82,46,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
              ",0,0,0,0,1
83,49,"","Burney, Linda Jean MP","8GH","Barton","ALP","","","
              ",0,0,0,0,1
84,49,"","Burney, Linda Jean MP","8GH","Barton","ALP","","","
              ",0,0,0,0,1
85,56,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
              ",0,0,0,0,1
86,57,"","Ms Madeleine King interjecting—","","","","","","
              ",0,0,0,0,1
87,57,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
              ",0,0,0,0,1
88,69,"","Mr Rick Wilson interjecting—","","","","","","
              ",0,0,0,0,1
89,72,"","Aly, Anne MP","13050","Cowan","ALP","","","
              ",0,0,0,0,1
90,75,"","Goodenough, Ian MP (The DEPUTY SPEAKER)","74046","Moore","LP","","","
              ",0,0,0,0,1
91,81,"","Ms Ryan interjecting—","","","","","","
              ",0,0,0,0,1
92,81,"","Ms Ryan interjecting—","","","","","","
              ",0,0,0,0,1
93,86,"","Ramsey, Rowan Eric MP","HWS","Grey","LP","","","
              ",0,0,0,0,1
94,88,"","Dick, Milton MP (The SPEAKER)","53517","Oxley","ALP","","","
              ",0,0,0,0,1
95,92,"","Buchholz, Scott MP (The DEPUTY SPEAKER)","230531","Wright","LNP","","","
            ",1,0,0,1,0
96,97,"","Buchholz, Scott MP (The DEPUTY SPEAKER)","230531","Wright","LNP","","","
            ",1,0,0,1,0
97,107,"","Buchholz, Scott MP (The DEPUTY SPEAKER)","230531","Wright","LNP","","","
              ",1,0,0,0,1
98,115,"","Claydon, Sharon MP (The DEPUTY SPEAKER)","248181","Newcastle","ALP","","","
            ",1,0,0,1,0
