"order","title","page.no","body","fedchamb_flag","sub1_flag","sub2_flag"
76,"DOCUMENTS",10218,"DOCUMENTS",0,0,0
77,"STATEMENTS",10218,"STATEMENTS",0,0,0
78,"MATTERS OF PUBLIC IMPORTANCE",10218,"MATTERS OF PUBLIC IMPORTANCE",0,0,0
79,"Presentation",10218,"Presentation",0,1,0
80,"Personal Explanation",10218,"Personal Explanation",0,1,0
81,"Climate Change",10218,"Climate Change",0,1,0
82,"COMMITTEES",10229,"COMMITTEES",0,0,0
83,"Communications and the Arts Committee",10229,"Communications and the Arts Committee",0,1,0
84,"Report",10229,"Report",0,0,1
85,"BILLS",10231,"BILLS",0,0,0
86,"Customs Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021, Customs Tariff Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021",10231,"Customs Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021Customs Tariff Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021",0,1,0
87,"Offshore Electricity Infrastructure Bill 2021, Offshore Electricity Infrastructure (Regulatory Levies) Bill 2021, Offshore Electricity Infrastructure (Consequential Amendments) Bill 2021",10231,"Offshore Electricity Infrastructure Bill 2021Offshore Electricity Infrastructure (Regulatory Levies) Bill 2021Offshore Electricity Infrastructure (Consequential Amendments) Bill 2021",0,1,0
88,"Reference to Federation Chamber",10231,"Reference to Federation Chamber",0,0,1
89,"Assent",10231,"AssentMessages from the Governor-General reported informing the House of assent to the bills.",0,0,1
90,"Second Reading",10231,"Second ReadingCognate debate.Consideration resumed of the motion:That this bill be now read a second time.to which the following amendment was moved:That all words after ""That"" be omitted with a view to substituting the following words:""whilst not declining to give the bill a second reading, the House urges the Government to improve the bill as recommended by Government Senators on the Senate Environment and Communications Legislation Committee, and to ensure safety for workers and benefits for local communities"".",0,0,1
91,"ADJOURNMENT",10258,"ADJOURNMENTThe DEPUTY SPEAKER (Mrs Wicks):  It being 7.30 pm, I propose the question:That the House do now adjourn.",0,0,0
92,"Ballarat Electorate: Covid-19",10258,"Ballarat Electorate: Covid-19",0,1,0
93,"Gambling",10259,"Gambling",0,1,0
94,"Housing Affordability",10260,"Housing Affordability",0,1,0
95,"COVID-19: Vaccination",10261,"COVID-19: Vaccination",0,1,0
96,"Steel Industry",10262,"Steel Industry",0,1,0
97,"Tasmania",10262,"Tasmania",0,1,0
98,"CONSTITUENCY STATEMENTS",10264,"CONSTITUENCY STATEMENTS",1,0,0
99,"Newcastle Electorate: Funding",10264,"Newcastle Electorate: Funding",1,1,0
100,"Stirling Electorate: Community Organisations",10264,"Stirling Electorate: Community Organisations",1,1,0
101,"Manufacturing",10265,"Manufacturing",1,1,0
102,"Groom Electorate: Building Better Regions Fund",10265,"Groom Electorate: Building Better Regions Fund",1,1,0
103,"Brisbane Airport, Asylum Seekers",10266,"Brisbane AirportAsylum Seekers",1,1,0
104,"Surf Lifesaving",10267,"Surf Lifesaving",1,1,0
105,"Employment",10267,"Employment",1,1,0
106,"Banks Electorate: Sport",10268,"Banks Electorate: Sport",1,1,0
107,"Climate Change",10268,"Climate Change",1,1,0
108,"National Security",10269,"National Security",1,1,0
109,"Youth Voice in Parliament Week, Chifley Electorate: Diabetes",10269,"Youth Voice in Parliament WeekChifley Electorate: Diabetes",1,1,0
110,"Central West Leadership Academy, Bartley, Ms Kim",10270,"Central West Leadership AcademyBartley, Ms Kim",1,1,0
111,"Youth Voice in Parliament Week",10270,"Youth Voice in Parliament Week",1,1,0
112,"Page Electorate: McGrath, Mr Garry",10271,"Page Electorate: McGrath, Mr Garry",1,1,0
113,"Housing Affordability",10271,"Housing Affordability",1,1,0
114,"Horticulture Industry",10272,"Horticulture Industry",1,1,0
115,"Lilley Electorate: Infrastructure",10272,"Lilley Electorate: Infrastructure",1,1,0
116,"COVID-19: Vaccination, COVID-19: Domestic Travel",10273,"COVID-19: VaccinationCOVID-19: Domestic Travel",1,1,0
117,"COVID-19: Income Support Payments, Edney, Ms Ida",10273,"COVID-19: Income Support PaymentsEdney, Ms Ida",1,1,0
118,"Lindsay Electorate: Manufacturing Industry",10274,"Lindsay Electorate: Manufacturing Industry",1,1,0
