"","title","page.no","body","fedchamb_flag","sub1_flag","sub2_flag"
"81","Consideration in Detail",9620,"Consideration in DetailBill—by leave—taken as a whole.",0,0,1
"82","COMMITTEES",9624,"COMMITTEES",0,0,0
"83","Australia's Family Law System Joint Select Committee",9624,"Australia's Family Law System Joint Select Committee",0,1,0
"84","Third Reading",9624,"Third Reading",0,0,1
"85","Reporting Date",9624,"Reporting Date",0,0,1
"86","BILLS",9625,"BILLS",0,0,0
"87","Customs Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021, Customs Tariff Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021",9625,"Customs Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021Customs Tariff Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021",0,1,0
"88","Second Reading",9625,"Second ReadingCognate debate.Consideration resumed of the motion:That this bill be now read a second time.",0,0,1
"89","ADJOURNMENT",9644,"ADJOURNMENT",0,0,0
"90","COVID-19: Tasmania",9644,"COVID-19: Tasmania",0,1,0
"91","Pathfinders National Aboriginal Birth Certificate Program",9645,"Pathfinders National Aboriginal Birth Certificate Program",0,1,0
"92","Indi Electorate: Hospitals",9645,"Indi Electorate: Hospitals",0,1,0
"93","Regional Australia",9646,"Regional Australia",0,1,0
"94","Kingsford Smith Electorate: COVID-19",9647,"Kingsford Smith Electorate: COVID-19",0,1,0
"95","Victoria: Regional Rail",9648,"Victoria: Regional Rail",0,1,0
"96","CONSTITUENCY STATEMENTS",9649,"CONSTITUENCY STATEMENTS",1,0,0
"97","Brand Electorate: Seniors Forum, Local Council Elections: Western Australia, Rockingham Senior High School: Telethon",9649,"Brand Electorate: Seniors ForumLocal Council Elections: Western AustraliaRockingham Senior High School: Telethon",1,1,0
"98","Southern New South Wales Drought Resilience Adoption and Innovation Hub",9649,"Southern New South Wales Drought Resilience Adoption and Innovation Hub",1,1,0
"99","COVID-19: Morrison Government",9650,"COVID-19: Morrison Government",1,1,0
"100","Australian Broadcasting Corporation",9650,"Australian Broadcasting Corporation",1,1,0
"101","Mental Health, COVID-19",9651,"Mental HealthCOVID-19",1,1,0
"102","Flynn Electorate: Hydrogen Industry",9651,"Flynn Electorate: Hydrogen Industry",1,1,0
"103","COVID-19: Vaccination",9652,"COVID-19: Vaccination",1,1,0
"104","Page Electorate: Sport",9652,"Page Electorate: Sport",1,1,0
"105","Griffith Electorate: Greenslopes Red Cross Hall",9653,"Griffith Electorate: Greenslopes Red Cross Hall",1,1,0
"106","National Police Remembrance Day",9654,"National Police Remembrance Day",1,1,0
"107","Higher Education: Language Studies",9654,"Higher Education: Language Studies",1,1,0
"108","Edens Landing State School",9655,"Edens Landing State School",1,1,0
"109","Macquarie Electorate: Bushfires",9655,"Macquarie Electorate: Bushfires",1,1,0
"110","Health Care",9656,"Health Care",1,1,0
"111","Australia Day Awards: Tasmania",9656,"Australia Day Awards: Tasmania",1,1,0
"112","Parents Beyond Breakup",9657,"
                Parents Beyond Breakup",1,1,0
"113","Cybersecurity",9657,"Cybersecurity",1,1,0
"114","Spinal Muscular Atrophy",9658,"Spinal Muscular Atrophy",1,1,0
"115","Corangamite Electorate: Telecommunications",9658,"Corangamite Electorate: Telecommunications",1,1,0
"116","MOTIONS",9659,"MOTIONS",1,0,0
"117","COVID-19: Racism",9659,"COVID-19: Racism",1,1,0
"118","Amess, Sir David Anthony Andrew",9659,"Amess, Sir David Anthony AndrewConsideration resumed of the motion:That this House:(1) condemn the murder of Sir David Amess, Member of Parliament in the House of Commons for the constituency of Southend West, killed in the course of performing his responsibilities to his constituents;(2) express its deepest sympathies to Sir David's family, colleagues, and to all who knew him;(3) pay tribute to Sir David's lengthy contribution to public life; and
                (4) convey the terms of this resolution to the Speaker of the House of Commons.",1,1,0
"119","GRIEVANCE DEBATE",9664,"GRIEVANCE DEBATEConsideration resumed of the motion:That grievances be noted.",1,0,0
"120","Climate Change",9664,"Climate Change",1,1,0
"121","New Acland Coal Mine",9666,"New Acland Coal Mine",1,1,0
"122","Werriwa Electorate",9667,"Werriwa Electorate",1,1,0
"123","Climate Change, Mental Health",9669,"Climate ChangeMental Health",1,1,0
"124","Indi Electorate: Telecommunications",9670,"Indi Electorate: Telecommunications",1,1,0
"125","Telecommunications Industry",9672,"Telecommunications Industry",1,1,0
